Object ID,DepartmentCategorical,Object Name,Title,CultureCategorical,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,CountryCategorical
244271,5,axehead,axehead,14,cyprus,-3200,-2000,bronze,"the cesnola collection, purchased by subscription, 1874–76",13
246324,5,"fibula, boat-shaped type","fibula, boat-shaped type",15,italian,-800,-501,bronze,"purchase, 1896",8
250722,5,"statuette of a woman, seated",terracotta statuette of a seated woman,13,greek,-524,-475,terracotta,"gift of henry s. washington, 1919",12
252173,5,seal,jasper amygdaloid seal,16,greek,-1600,-1450,jasper,"bequest of richard b. seager, 1926",12
252221,5,seal,seal,16,greek,-2000,-1450,haemaetite,"bequest of richard b. seager, 1926",12
262991,6,photograph,[detail of vanitas figures carved on the choir stalls at amiens cathedral],0,american,1860,1869,albumen silver print from glass negative,"gift of lucien goldschmidt, 1981",0
263514,6,photograph,robert motherwell,0,american,1981,1981,gelatin silver print,"gift of the artist, 1983",0
265758,6,photograph,[graffiti on backstage door of the school of american ballet],0,american,1945,1945,gelatin silver print,"gift of paul f. walter, in memory of christopher hemphill, 1987",0
266167,6,photograph,[study of australian grapes],0,american,1858,1862,albumen silver print from glass negative,"purchase, the horace w. goldsmith foundation gift, through joyce and robert menschel, 1989",0
269735,6,photograph,sous bois,-1,belgian,1922,1922,bromoil print,"gift of clarence mck. lewis, 1954",-1
271904,6,glass positive,margaret eakins,0,american,1880,1889,glass positive ,"gift of charles bregler, 1947",0
273592,6,negative,[peggy bacon],0,american,1934,1934,film negative,"walker evans archive, 1994",0
276937,6,negative,"[two 35mm film frames: boys playing on stoop near elevated train tracks, new york city]",0,american,1933,1934,film negative,"walker evans archive, 1994",0
286197,6,photograph,"rouen, place eau-de-robec",11,french,1908,1908,matte albumen silver print from glass negative,"gilman collection, purchase, sam salz foundation gift, 2005",10
311479,7,horn,horn,17,indonesian,1900,2000,bamboo,"the michael c. rockefeller memorial collection; gift of nelson a. rockefeller and mrs. mary c. rockefeller, 1965",14
312687,7,snake figure,coiled serpent,18,mexican,1400,1600,"stone, pigment","the michael c. rockefeller memorial collection, bequest of nelson a. rockefeller, 1979",15
313019,7,pendant,figure pendant,19,atlantic,300,800,jadeite,"the michael c. rockefeller memorial collection, bequest of nelson a. rockefeller, 1979",16
316760,7,painting,painting,20,melanesians,1900,2000,"paper, paint","gift of lita osmundsen, 1992",17
317135,7,ritual stone,stone pulidor,21,mexican,1200,1600,stone,"bequest of arthur m. bullowa, 1993  ",15
319532,7,costume element,ceremonial costume element,22,temorese,1850,1950,"cotton, glass beads","bequest of john b. elliott, 1997",14
323644,8,sherd,sherd,23,iranians,-3505,-3100,"ceramic, paint","rogers fund, 1938",-1
325714,8,sculpture,bird standard,0,american,-2500,-2500,copper alloy,"purchase, schimmel foundation inc. gift, 1965",0
327150,8,bead,bead,0,american,-7000,-5000,calcite,"gift of sheldon and barbara breitbart, 1985",0
339097,9,print; poster,new york ledger: bicycle number,0,american,1895,1895,lithograph,"gift of bessie potter vonnoh, 1941",0
339407,9,drawing,figure studies,9,italian,1696,1770,"pen and brown ink, over black chalk, on beige paper","rogers fund, 1964",8
341146,9,print,reciprocated love,9,italian,1584,1600,engraving,"harris brisbane dick fund, 1927",8
341485,9,print,"rest on the flight into egypt, mary holding and looking at the infant christ while st. joseph reads",9,italian,1632,1642,etching,"harris brisbane dick fund, 1926",8
345964,9,book,meubles modernes,11,french,1875,1890,chromolithography,"a. hyatt mayor purchase fund, marjorie phelps starr bequest, 1987",10
346186,9,book,blossoms of childhood,0,american,1840,1840,illustrations: wood engraving,"anonymous gift, 1941",0
347789,9,book,"the comical history of lord flutter, lord spindle and sir harry hopscotch; or, the bee, the wasp, and the ant",8,british,1800,1900,"wood engraving, hand colored","gift of lincoln kirstein, 1964",7
350011,9,book,"seamless plain solid gold rings, engraved rings, diamond rings, mountings, ladies' stone rings, chains, diamond cutters",0,american,1902,1902,illustrations: photomechanical process,"the elisha whittelsey collection, the elisha whittelsey fund, 1960",0
350542,9,book,"performing tea ceremony, the miyako odori for 1935, and eight stage sets",2,japanese,1930,1940,illustrations: photographic method and color prints,"gift of lincoln kirstein, 1986",2
353752,9,book,plates in missel de notre-dame de france,11,french,1899,1899,,"the elisha whittelsey collection, the elisha whittelsey fund, 1963",10
355115,9,book,"exposition lorraine. l'école de nancy au musée de l'union centrale des arts décoratifs. pavillon de marsan, a paris. ier série: le moblier",11,french,1900,1910,heliotype print,"the elisha whittelsey collection, the elisha whittelsey fund, 1962",10
357808,9,book,enoch arden,8,british,1866,1866,illustrations: wood engraving,"the elisha whittelsey collection, the elisha whittelsey fund, 1966",7
360463,9,drawing,"st. peter's, exterior, tabernacle, elevation and section at base with details of pedestal and railing, (recto)st. peter's, exterior, tabernacle, elevation and section at arched opening (verso)",11,french,1500,1560,"dark brown ink, black chalk, and incised lines","gift of janos scholz and anne bigelow scholz, in memory of flying officer walter bigelow rosen, rcaf, 1949",10
360750,9,print,head of a muscular old man in profile to left with flowing hair,9,italian,1677,1625,etching; only state,"purchase, joseph pulitzer bequest, 1917",8
